"corpus_sizes","agx","ava","kum","rut","dar","tab","lak","lez","nog","tkr","arch","khv"
8506,0.35333279755887,0.424183373422797,0.360159270219045,0.34412403856423,0.503463903779307,0.416412677091131,0.374251587261526,0.350874787630689,0.341203594993865,0.400019636462751,0.399294810745895,0.394304814260681
8577,0.352180869242524,0.423080844565493,0.359180109554595,0.343101423405701,0.502489280325887,0.415349679734125,0.37324308586202,0.349855190808729,0.340037630021727,0.398929368205457,0.398191573373898,0.393226185256936
8855,0.347767276771657,0.418863471899931,0.355435802665221,0.339189252899017,0.498750095521175,0.411279960105707,0.369383308764726,0.345958407532179,0.335571314704802,0.394749173596013,0.393961828839491,0.389090661900739
9268,0.341479117639745,0.412873446043132,0.350120860914012,0.333631480603204,0.493408830530624,0.405489922661284,0.363895540461151,0.340432914854688,0.329211024123116,0.388785487223992,0.387927946357075,0.383190833728581
9566,0.337127354863172,0.408740379111128,0.346455786425909,0.329795897221298,0.489702374532247,0.401488174907838,0.360105180597526,0.336626696489005,0.324811472015726,0.384652515299051,0.383746680739048,0.379102208492628
10006,0.330963830623881,0.402903255024551,0.341282677793793,0.324377964622113,0.484438168521573,0.395827211665743,0.354746738010853,0.331260031157484,0.318583368020968,0.378790443772312,0.377816628716977,0.37330317072001
11011,0.317928715207141,0.390618995592462,0.330407720291231,0.312973006214067,0.473244640686957,0.383878008770186,0.343449677185297,0.320000007204446,0.30542438143007,0.366358238461782,0.365242381591415,0.361005197531214
11292,0.314516326831165,0.387415906097975,0.327574779099212,0.309998714965285,0.470299938992474,0.380754317261122,0.340499540782927,0.317071660790194,0.301982578018923,0.363095439053627,0.361942810911696,0.357777758186733
11558,0.311371041805337,0.384467936552212,0.32496846421107,0.30726120262934,0.467580139671,0.377876505376884,0.337782763513592,0.3143793788885,0.298811342017937,0.360084843219011,0.358898482453089,0.354799839993966
12058,0.305669219030887,0.379134119892116,0.320255231641187,0.302307976103475,0.462635481795437,0.37266251738182,0.332863343006546,0.309515103787604,0.293065403700919,0.354619121727881,0.353372016222455,0.349393573089934
12344,0.302524083417528,0.376197413867645,0.317661548318216,0.299580761677072,0.459899916514554,0.369787876608302,0.330152664757165,0.30684074297245,0.289897598290274,0.351599624740874,0.350319244316001,0.346406994581623
13262,0.292950157646643,0.367279999997489,0.309791624493325,0.291299607958815,0.451535436736007,0.361041903910681,0.321912428049302,0.298736718551498,0.280262292539766,0.342387001523983,0.341006402120581,0.337295144662956
14402,0.282042441718388,0.357156338234822,0.300868024601239,0.28189944904563,0.44193231853393,0.351081849430049,0.312541131354326,0.289567358461896,0.269299499948303,0.331849508210073,0.330356835851322,0.326873579076794
14724,0.27913649518605,0.354464937456352,0.298497635567287,0.279400782675997,0.439359818341977,0.348428400245801,0.310046871183097,0.287135243915004,0.266381711081608,0.329034255253543,0.327512131326842,0.324089424948622
